ImageID,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
0,-0.7609880781828089,-0.39850756058410397,2.2513425051848968,0.8404059015194725,-1.2345608946232793,1.91287763969936
1,1.8126996132294169,1.1994346902564796,-2.2082110725878294,-0.5460986430973738,-1.5701099592190113,-0.7404557575361741
2,-0.3399277519549946,-1.857369932307918,1.7399179464013583,-1.5380482609771848,-2.499607178654846,1.8349832787028264
3,-2.829035185422938,0.7275936123865554,1.877284266412417,1.2636324491707898,0.2900829721806879,1.3061921820749305
4,-0.8832852903265134,-0.6623262425861416,-0.5567603523172768,1.5316929647923798,2.238559611669796,-1.3399853113244762
5,1.059450164033878,2.3243842672386723,2.35422513388711,-2.6936976928356886,0.5708936094772139,-2.3663999895291927
6,-0.3567253250351472,-3.0336495084535082,-0.6424665089971935,-0.17723003153704875,0.452188961323428,2.722741881190653
7,-0.2229170071248583,-1.0789609430819498,2.9947495447170986,-2.8701908648114665,-0.26556176942206067,0.6579973023915993
8,0.2285337971414596,-2.9934261671299005,-0.7211443522869576,1.8275071012880542,-0.6758699613092563,-1.234167831067019
9,2.5693660324153305,-1.6258591752925122,-0.8809666099890636,-1.2041602752626968,2.665554794852177,-2.7220323410938834
10,-2.695888542030063,1.4065272137587668,-1.9512551556398052,3.0810167442105065,-0.9056705583682811,-0.3632789588030545
11,1.6286096808529695,0.3265957732249798,-1.627463391474978,-2.3802883209399455,3.0010907235902584,3.088131651487135
12,1.9509480092235538,-0.47933772798391505,0.11991128205207646,-2.084443892483794,-0.5685836610147357,1.8141973811872232
13,0.9097012151481589,0.9227472406726687,-2.416798471002779,-1.783007328867243,-3.011000422736163,0.5950406442127165
14,-1.3150288573552884,-0.6113483386840048,-2.003175165163154,3.0320235821983728,0.00499339464666626,-0.9230818731488535
15,0.015814842133042184,-1.093165549625795,-1.6995389386644495,-0.5505024536254193,-3.1058947095256593,-3.0272624754992927
16,-2.3867585195503667,-2.5480655793591387,-1.7711888824997999,-2.1108452468120187,-1.517582179116881,2.138803632295912
